position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,combined_typeform_urls,publicwww_email_candidate_count,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,scan_mode,verification_eligible_emails,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
10036,>30M,cycling.im,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10037,>30M,cdn.ch,no,,,,0,,cdn@nb.admin.ch,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10038,>30M,bit.ai,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10039,>30M,neural.ai,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10040,>30M,nemetnyaritabor.hu,yes,,,https://dartmoor.typeform.com/to/ErMKDohu,0,,info@nemetnyaritabor.hu,showing_email_candidates,not_flagged,contact_pages,info@nemetnyaritabor.hu,,,,info@nemetnyaritabor.hu,valid=0; invalid=0; risky=0; unknown=1
10041,>30M,conceptnorthern.co.uk,no,,,,0,,educationsupport@tohealthltd.co.uk ; info@conceptnorthern.co.uk ; quotes@conceptnorthern.co.uk ; sales@conceptnorthern.co.uk ; support@conceptnorthern.co.uk ; techsupport@tohealthltd.co.uk,showing_email_candidates,not_flagged,contact_pages,info@conceptnorthern.co.uk ; sales@conceptnorthern.co.uk ; support@conceptnorthern.co.uk,,,,info@conceptnorthern.co.uk ; sales@conceptnorthern.co.uk ; support@conceptnorthern.co.uk,valid=0; invalid=0; risky=0; unknown=3
10042,>30M,sbm-inc.co.jp,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10043,>30M,pony-express-torino.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10044,>30M,kinesiologyperthwa.com.au,yes,,,https://admin.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/to/dOcg13on,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10045,>30M,dainihonpacks.co.jp,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10046,>30M,mama.codes,no,,,https://mama-codes.typeform.com/,0,,hello@jaycollett.co ; hello@mama.codes,showing_email_candidates,not_flagged,contact_pages,hello@mama.codes,hello@mama.codes,,,,valid=1; invalid=0; risky=0; unknown=0
10047,>30M,sansankanmiki.jp,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10048,>30M,amybell.com.au,yes,,,https://d7lt6z8ju9a.typeform.com/to/fBx7UVsO,0,,amy@amybell.com.au,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10049,>30M,mca-groupe.com,no,,,https://embed.typeform.com/,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10050,>30M,zepartner.com,yes,,,,0,,contact@zepartner.com,showing_email_candidates,not_flagged,contact_pages,contact@zepartner.com,contact@zepartner.com,,,,valid=1; invalid=0; risky=0; unknown=0
10051,>30M,pubblilaser.it,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10052,>30M,drywallrepairokc.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10053,>30M,datenrecht.ch,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10054,>30M,alfaconsulenza.it,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10055,>30M,kombihireperth.com.au,yes,,,https://admin.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/to/vAfTLE3Z,0,,kombihireperth@yahoo.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10056,>30M,sirelo.nl,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10057,>30M,requity.vc,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10058,>30M,cancionespersonalizadas.net,yes,,,https://form.typeform.com/to/WWpGy8ht,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10059,>30M,miwaken.net,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10060,>30M,nktproductions.net,no,,,,0,,mborgerding@nktelco.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10061,>30M,qsitalia.net,yes,,,https://form.typeform.com/to/Hp9llVK2,0,,info@qsitalia.net,showing_email_candidates,not_flagged,contact_pages,info@qsitalia.net,,,,info@qsitalia.net,valid=0; invalid=0; risky=0; unknown=1
10062,>30M,resultsinadvance.net,yes,,,,0,,thanks@resultsinadvance.net,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10063,>30M,babao.info,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10064,>30M,cdpconsulting.info,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10065,>30M,cpgd.info,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10066,>30M,providesk.info,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10067,>30M,1supernova.com,yes,,,https://form.typeform.com/to/AZuYcsWx ; https://i9evkjegsiq.typeform.com/to/KCJDm5Jy,0,,barry@1supernova.com ; brooke@decentstartup.com ; christopher@1supernova.com ; hanna@1supernova.com ; hello@1supernova.com ; jt@1supernova.com,showing_email_candidates,not_flagged,contact_pages,hello@1supernova.com,hello@1supernova.com,,,,valid=1; invalid=0; risky=0; unknown=0
10068,>30M,1q9x.com,no,,,,0,,medium-zoom@1.0.6,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10069,>30M,801injured.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10070,>30M,a-j-y.com,yes,,,https://form.typeform.com/to/L9gC13FM,0,,contact@a-j-y.com,showing_email_candidates,not_flagged,contact_pages,contact@a-j-y.com,contact@a-j-y.com,,,,valid=1; invalid=0; risky=0; unknown=0
10071,>30M,aceofbasediscography.com,yes,,,https://rickyritch02.typeform.com/to/cclgon9a,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10072,>30M,agenciarei.com,no,,,,0,,andre@promise.marketing ; blog-banner-desktop@2x-scaled.webp ; contato@agenciarei.com ; depoimentos@2x-1024x616.webp ; depoimentos@2x-1536x924.webp ; depoimentos@2x-300x181.webp ; depoimentos@2x-768x462.webp ; depoimentos@2x.webp ; eliefe@2x.png ; embelleze@2x-300x78.png ; embelleze@2x.png ; guardaroba@2x-300x39.png ; guardaroba@2x.png ; logo-guardaroba@2x-300x39.jpg ; logo-guardaroba@2x.jpg ; mbp-badge-dark-backgrounds@2x-300x172.png ; mbp-badge-dark-backgrounds@2x-768x441.png ; mbp-badge-dark-backgrounds@2x.png ; nayaramarra@2x-300x25.png ; nayaramarra@2x.png ; penalty@2x-300x59.png ; penalty@2x.png ; uza@2x.png ; vm@2x.png,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10073,>30M,aidaly.com,no,,,https://aidaly.typeform.com/,0,,launch@aidaly.com ; support@aidaly.com,showing_email_candidates,not_flagged,contact_pages,support@aidaly.com,,,,support@aidaly.com,valid=0; invalid=0; risky=0; unknown=1
10074,>30M,ait-dev.com,no,,,,0,,contact@ait-dev.com,showing_email_candidates,not_flagged,contact_pages,contact@ait-dev.com,contact@ait-dev.com,,,,valid=1; invalid=0; risky=0; unknown=0
10075,>30M,alphadeltagames.com,yes,,,https://adamlofting.typeform.com/to/jVWTIV,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10076,>30M,amandagutierres.com,yes,,,https://amandaromanog.typeform.com/to/lliXKx,0,,contato@amandagutierres.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10077,>30M,andolinalaw.com,yes,,,https://mixfit1.typeform.com/to/DJe8kg,0,,attorney.andolina@gmail.com ; katlyn@andolinalaw.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10078,>30M,argolia.com,yes,,,https://embed.typeform.com/ ; https://form.typeform.com/to/Icw7gcYm ; https://hexacubist.typeform.com/to/Icw7gcYm,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10079,>30M,asahikawayouchien.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10080,>30M,asendant.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10081,>30M,assutempo.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10082,>30M,auctussurgical.com,no,,,https://embed.typeform.com/,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10083,>30M,auxscribe.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10084,>30M,bankswedding.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10085,>30M,belongbook.com,yes,,,https://belongbook.typeform.com/to/tPXeTk,0,,1@2x.png ; 2@2x.png ; 3@2x.png ; abc-athismorning@2x.png ; belong-title_white@2x.png ; belongcenter@daybreaker.com ; npr@2x.png ; nyt_horizontal@2x.png ; ted@2x.png ; username@example.com ; well-good@2x.png,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10086,>30M,bestpersonalinjurylawyermiami.com,no,,,https://embed.typeform.com/,0,,info@example.com ; info@quantsinsites.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10087,>30M,bexperiences.com,no,,,,0,,info@bexperiences.com ; pbosch@bexperiences.com,showing_email_candidates,not_flagged,contact_pages,info@bexperiences.com,,,,info@bexperiences.com,valid=0; invalid=0; risky=0; unknown=1
10088,>30M,betting-fuentes.com,yes,,,https://form.typeform.com/to/TzpJl9uV,0,,annette@betting-fuentes.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10089,>30M,birminghammoneyman.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10090,>30M,blackopsagency.com,yes,,,https://ab5a9s7zbmc.typeform.com/to/ymqmxEOC,0,,connect@blackopsagency.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10091,>30M,blitzmediaco.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10092,>30M,bonoom.com,yes,,,https://bonoom.typeform.com/to/Fa75E0,0,,info@bonoom.com,showing_email_candidates,not_flagged,contact_pages,info@bonoom.com,,,,info@bonoom.com,valid=0; invalid=0; risky=0; unknown=1
10093,>30M,boundlessbits.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10094,>30M,breakergame.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10095,>30M,bridspa.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10096,>30M,bylzm.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10097,>30M,cablivi.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10098,>30M,caitlinaudreyjohnson.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10099,>30M,candlesbycherry.com,no,,,,0,,boxicons@2.1.2,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10100,>30M,carershq.com,no,,,,0,,hello@carershq.com,showing_email_candidates,not_flagged,contact_pages,hello@carershq.com,hello@carershq.com,,,,valid=1; invalid=0; risky=0; unknown=0
10101,>30M,chefsarmiento.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10102,>30M,cipriquintas.com,yes,,,https://form.typeform.com/to/xOgUSz9r,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10103,>30M,citizenheights.com,no,,,,0,,info@citizenheights.com,showing_email_candidates,not_flagged,contact_pages,info@citizenheights.com,,,,info@citizenheights.com,valid=0; invalid=0; risky=0; unknown=1
10104,>30M,clintcampbell.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10105,>30M,coalitionsites.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10106,>30M,coastalwealthinsurance.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10107,>30M,comencouleurs.com,yes,,,https://9i2zsvud8a0.typeform.com/to/otr8sF6h,0,,hello@comencouleurs.com ; u003ehello@comencouleurs.com,showing_email_candidates,not_flagged,contact_pages,hello@comencouleurs.com,hello@comencouleurs.com,,,,valid=1; invalid=0; risky=0; unknown=0
10108,>30M,conradstel.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10109,>30M,contratonulo.com,yes,,,https://mercasemanas.typeform.com/to/sy2vnq,0,,info@contratonulo.com ; info@contratonuloabogados.com,showing_email_candidates,not_flagged,contact_pages,info@contratonulo.com,,,,info@contratonulo.com,valid=0; invalid=0; risky=0; unknown=1
10110,>30M,cordiance.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10111,>30M,corretorplanodesaude.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10112,>30M,cultureprojet.com,yes,,,https://marine516695.typeform.com/to/MuRWQ4Hs,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10113,>30M,cxanalytix.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10114,>30M,daieikagu.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10115,>30M,daiwatoyo.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10116,>30M,danieltwhite.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10117,>30M,danytran.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10118,>30M,darkoacademy.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10119,>30M,datingprofilephotography.com,yes,,,https://form.typeform.com/to/BVxOlz21,0,,mike@datingprofilephotography.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10120,>30M,deinhome.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10121,>30M,dentalcareofmorrisville.com,no,,,,0,,dentalcareofmorrisville@gmail.com ; ui@4.0,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10122,>30M,diamondclientgroup.com,no,,,,0,,info@diamondclientgroup.com ; john@company.com,showing_email_candidates,not_flagged,contact_pages,info@diamondclientgroup.com,,,,info@diamondclientgroup.com,valid=0; invalid=0; risky=0; unknown=1
10123,>30M,diatahealth.com,yes,,,,0,,hello@diatahealth.com,showing_email_candidates,not_flagged,contact_pages,hello@diatahealth.com,hello@diatahealth.com,,,,valid=1; invalid=0; risky=0; unknown=0
10124,>30M,dietamimadigiuno.com,yes,,,https://form.typeform.com/to/rK6lwKpd,0,,jnguyen@lightrx.com ; logo-dieta-mima-digiuno_140x@2x.webp ; logo-dieta-mima-digiuno_280x@2x.webp ; vue3-carousel@0.3.1,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10125,>30M,diegoariet.com,yes,,,,0,,contacto@diegoariet.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10126,>30M,disputesurgery.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10127,>30M,djamproductions.com,yes,,,https://9mehyllvjcx.typeform.com/to/xHDAMA0p,0,,reservations@djamproductions.com,showing_email_candidates,not_flagged,contact_pages,reservations@djamproductions.com,,,,reservations@djamproductions.com,valid=0; invalid=0; risky=0; unknown=1
10128,>30M,doctorcarlosmorales.com,no,,,https://dr-carlos-morales.typeform.com/ ; https://dr-carlos-morales.typeform.com/to/arJYJZVO,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10129,>30M,dognews360.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10130,>30M,downtowncincinnatibraces.com,yes,,,https://dmcdentistry.typeform.com/to/YJchxv ; https://embed.typeform.com/,0,,info@abpdentistry.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10131,>30M,dreamdietdoctor.com,yes,,,https://wvneqwo590r.typeform.com/to/T3NBV6rN,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10132,>30M,dudonwai.com,yes,,,https://canvass.typeform.com/to/IMbSGn ; https://dudonwai1.typeform.com/to/u0kH2F ; https://embed.typeform.com/,0,,d@dudonwai.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10133,>30M,ebisukensetsu.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10134,>30M,edtechgrowth.com,yes,,,,0,,info@educatedguess.org,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10135,>30M,eliteincomeadvisors.com,yes,,,https://o0p59w634ws.typeform.com/to/nZNmPnLf,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10136,>30M,elufowojujrensemble.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10137,>30M,empireservicesaustin.com,yes,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10138,>30M,englishacademicediting.com,no,,,,0,,bentley_phil@hotmail.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10139,>30M,engineering6.com,no,,,,0,,,no_public_email_found,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
10140,>30M,epicgolfouting.com,yes,,,https://efeedback.typeform.com/to/RFhes6,0,,golf@epiccreative.com,showing_email_candidates,not_flagged,contact_pages,,,,,,valid=0; invalid=0; risky=0; unknown=0
